SPECS,c1,c23,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,WFuselageLAPES,HFuselageLAPES,LFuselageLAPES,motorIndex,volumeBox,configBox,Score
11,0.23401241472464,0.22085423474547,0.19500559094993,0.55879675170297,0.39032719358915,0.51379549200575,1,2,2,2,0.17152355774851,0.17490352926902,0.07032334836119,2,0.55311438902174,0.20604994539098,5,0.07032334836119,0.10277791325986,0.17490352926902,1,0.022402605830238,1,207
12,0.24246708749897,0.23680966861912,0.19910844622733,0.87141479307002,0.23665282443313,0.60378637021986,2,3,3,3,0.18804794962583,0.17416171807808,0.060326315810114,2,0.51767320313258,0.15395201862568,5,0.060326315810114,0.12663173420355,0.17416171807808,1,0.027572491037298,11,229
13,0.24435432188389,0.21148287382614,0.18749966568535,0.59117825933603,0.36839435346416,0.5050950462289,0.85394960107411,3,3,3,0.17830275887878,0.17446444739514,0.065068448895155,2,0.51701160565286,0.2534167736071,8,0.065068448895155,0.10796557511171,0.17446444739514,1,0.025825507840142,25,209
14,0.23394666444038,0.21736051558488,0.20020396636554,0.86117312154304,0.23544152013055,0.6010778012956,2,3,3,3,0.18683484040242,0.17755458663589,0.068189442142242,2,0.52437613095768,0.15391034937504,6,0.068189442142242,0.11265198525007,0.17755458663589,1,0.025530401247913,33,224
15,0.24744630803861,0.21100682794048,0.18731330656714,0.60629970488281,0.37246419739489,0.514955440441,0.89881761632294,1,1,1,0.17829665952312,0.17445792226174,0.067438111220852,2,0.51610159105516,0.24916707110094,6,0.067438111220852,0.10439789541979,0.17445792226174,1,0.024536545646661,1,206
16,0.23757109544397,0.21765895157409,0.20198168530684,0.59828934125059,0.38135790423085,0.51865241402166,0.62796282503386,2,2,2,0.18039644426424,0.17821149199664,0.066209879882687,2,0.53415203388452,0.25372175265991,8,0.066209879882687,0.10327261294264,0.17821149199664,1,0.023770174614655,1,206
17,0.23081129090026,0.22685839055859,0.20104493565576,0.54514956140852,0.37942918393292,0.51508306266705,0.36597540183504,3,3,3,0.17106080779922,0.17491560617339,0.069813750814653,2,0.55312312954069,0.15018378414315,6,0.069813750814653,0.099352851677089,0.17491560617339,1,0.022306382578198,1,200
18,0.24203330167339,0.2273012132618,0.18236734155864,0.61032498588438,0.30060978063455,0.50163835182192,2,3,3,3,0.17639975948389,0.18084813177059,0.064043629306119,2,0.51868258703765,0.18283887802581,6,0.064043629306119,0.10537739753558,0.18084813177059,1,0.023997437600825,1,204
19,0.23407473469888,0.22107815011367,0.20360293799891,0.57919776925123,0.39061782381654,0.52752737453598,1,3,3,3,0.17690725663572,0.1748846262063,0.066545067101867,2,0.5686403352723,0.19148899243109,7,0.066545067101867,0.10929375996142,0.1748846262063,1,0.023593736472632,1,212
20,0.24246708749897,0.23680966861912,0.19910844622733,0.87141479307002,0.23665282443313,0.60378637021986,2,3,3,3,0.18804794962583,0.17416171807808,0.060326315810114,2,0.51767320313258,0.15395201862568,5,0.060326315810114,0.12663173420355,0.17416171807808,1,0.027572491037298,11,229
21,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
