c1,c2,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,Arh,motorIndex,infoBat,volumeBox,configBox,boxUse,batteryConsumption,Score
0.23,0.22,0.20,0.73,0.34,0.61,2.26,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.56,0.21,7.00,3.18,1.00,6.00,0.03,11.00,1.00,1670.06,207.86
0.24,0.24,0.18,0.77,0.49,0.74,3.64,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.54,0.03,8.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.23,0.23,0.85,0.53,0.76,3.71,2.00,2.00,2.00,0.18,0.23,0.07,3.00,0.51,0.21,8.00,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.72,0.46,0.68,0.74,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.51,0.14,7.00,3.32,1.00,6.00,0.03,33.00,0.96,1816.82,201.83
0.23,0.23,0.23,0.82,0.37,0.65,3.90,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.57,0.26,4.00,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.22,0.21,0.19,0.78,0.29,0.61,2.66,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.57,0.22,3.00,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.24,0.20,0.76,0.29,0.59,2.91,1.00,1.00,1.00,0.19,0.24,0.07,3.00,0.54,0.21,3.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.23,0.70,0.41,0.60,2.27,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.56,0.29,1.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.22,0.53,0.39,0.57,2.19,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.54,0.03,5.00,3.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.67,0.43,0.62,3.54,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.56,0.22,5.00,3.55,1.00,6.00,0.02,33.00,0.98,1592.26,203.29
0.23,0.21,0.20,0.58,0.48,0.60,3.56,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.53,0.23,6.00,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.24,0.19,0.52,0.28,0.51,2.68,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.53,0.02,3.00,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
